name,title,team,location,url
Annie Chiu,Administrative Assistant,Silicon Valley Bank,,https://www.svb.com/profile/annie-chiu/
Anthony Vassallo,"Director, Crypto",,Austin,https://www.svb.com/profile/anthony-vassallo/
Arianne Perry,Managing Director,"SVB Investor Coverage and Business Development, Technology Venture Banking",New York - West 42nd,https://www.svb.com/profile/arianne-perry/
Armando A Argueta,"Director, National Fintech Practice",,,https://www.svb.com/profile/armando-a-argueta/
Barnaby Chery,Relationship Advisor,Corporate Banking,Boston - State Street,https://www.svb.com/profile/barnaby-chery/
Ben Johnston,"Advisor, Foreign Exchange",,Boston - State Street,https://www.svb.com/profile/ben-johnston/
Bill Sideris,"Director, Life Science and Healthcare",,,https://www.svb.com/profile/bill-sideris/
Contact us,,,,https://www.svb.com/profile/blake-armstrong/
Blake Lepire,"Director, Warehouse Lending",Silicon Valley Bank,New York - West 42nd,https://www.svb.com/profile/blake-lepire/
Bobby Donnelly,Sr. Foreign Exchange Advisor,,Palo Alto - Cowper Street,https://www.svb.com/profile/bobby-donnelly/
Bo Ren,"Managing Director, Early-Stage Startups, SVB",,New York,https://www.svb.com/profile/bo-ren/
Brenda Santoro,Head of Global Trade Finance,,Palo Alto - Cowper Street,https://www.svb.com/profile/brenda-santoro/
Contact us,,,,https://www.svb.com/profile/bret-turner/
Brian Brown,"Managing Director, Credit Solutions",Silicon Valley Bank,Richardson,https://www.svb.com/profile/brian-brown/
Brian Foley,"Market Manager, Fintech and Warehouse Lending",,New York - West 42nd,https://www.svb.com/profile/brian-foley/
Brian Kass,"Senior Card Advisor, Global Treasury & Payments Advisory",,New York - West 42nd,https://www.svb.com/profile/brian-kass/
Brian Lowry,Director,Silicon Valley Bank,,https://www.svb.com/profile/brian-lowry/
Brian McGuire,"Managing Director, Liquidity Product",Silicon Valley Bank,San Francisco - 222 2nd Street,https://www.svb.com/profile/brian-mcguire/
Brian Sherer,Managing Director,Sponsor Finance Group,Palo Alto - Cowper Street,https://www.svb.com/profile/brian-sherer/
Brian Taylor,Global Treasury & Payments Advisor III,,Boston - State Street,https://www.svb.com/profile/brian-taylor/
Bruce Helberg,Senior Market Manager,"Tech Banking Northwest, Mountain West & SoCal",Portland,https://www.svb.com/profile/bruce-helberg/
Bryan Brenchley,Principal Product Lead,Payment Solutions,,https://www.svb.com/profile/bryan-brenchley/
Caitlin Cloud,"Vice President, Tech Banking Southwest",,Austin,https://www.svb.com/profile/caitlin-cloud/
Calvert Wong,Vice President - Early Stage Practice,Silicon Valley Bank,,https://www.svb.com/profile/calvert-wong/
Carla Winfield,"Senior Advisor, Trade Finance",Silicon Valley Bank,Boston - State Street,https://www.svb.com/profile/carla-winfield/
Carmela Montes de Oca,Managing Director,Global Treasury and Payments,Atlanta,https://www.svb.com/profile/carmela-montes-de-oca/
Carmen Sudhausen,"Sr. Relationship Advisor, Corporate Banking",,,https://www.svb.com/profile/carmen-sudhausen/
Carrie Merritt,Director of Public Relations,SVB Financial Group,Portland,https://www.svb.com/profile/carrie-merritt/
Chandler White,FX Advisor,,Los Angeles - S Vermont,https://www.svb.com/profile/chandler-white/
Chelsea Hakso,Director,Hardware-as-a-Service,San Francisco - 222 2nd Street,https://www.svb.com/profile/chelsea-hakso/
Cheryl Day,Sr. Relationship Advisor,Startup Banking; Venture-Funded; Corporate Banking,San Diego,https://www.svb.com/profile/cheryl-day/
Chris Canazaro,Senior Managing Director Life Science & Healthcare,,Portland,https://www.svb.com/profile/chris-canazaro/
Chris Leary,Managing Director,,Boston - State Street,https://www.svb.com/profile/chris-leary/
Chris Stoecker,Managing Director,Accelerator and Growth Tech Banking,Raleigh,https://www.svb.com/profile/chris-stoecker/
Christi Fletcher,Senior Portfolio Manager,SVB Asset Management,Chicago,https://www.svb.com/profile/christi-fletcher/
Christina Bertram,,SVB Private Bank,Santa Clara,https://www.svb.com/profile/christina-bertram/
Contact us,,,,https://www.svb.com/profile/cindy-schatz/
C.J. Bradford,Vice President,,,https://www.svb.com/profile/cj-bradford/
Claudia Canales,"Director, New York Region",Structured Finance,New York - West 42nd,https://www.svb.com/profile/claudia-canales/
Craig Smith,Director,SVB Asset Management,,https://www.svb.com/profile/craig-smith/
Cynthia Brooks-Manson,Senior Relationship Advisor,Technology Banking,Austin,https://www.svb.com/profile/cynthia-brooks-manson/
Dan Baldi,National Head of Climate Business Development,,San Francisco - 222 2nd Street,https://www.svb.com/profile/dan-baldi/
Contact us,,,,https://www.svb.com/profile/daniel-dehrey/
Danielle Conkling,"ESG Lead, Corporate Social Responsibility",ESG Reporting,San Francisco - 222 2nd Street,https://www.svb.com/profile/danielle-conkling/
Danny Donovan,Director,Climate Tech and Sustainability ​,Boston - State Street,https://www.svb.com/profile/danny-donovan/
Darrell Leong,"Managing Director, Head of Investment Research",,,https://www.svb.com/profile/darrell-leong/
David Song,FX Advisor,FX Product Advisory,Palo Alto - Cowper Street,https://www.svb.com/profile/david-song/
Dawn McFadden,Sr. Relationship Advisor,Life Sciences and Healthcare,Atlanta,https://www.svb.com/profile/dawn-mcfadden/
Dax Williamson,Market Manager,Tech Banking Southern US,Austin,https://www.svb.com/profile/dax-williamson/
Debi Kutaka,Senior Fraud Risk Manager,Silicon Valley Bank,Santa Clara,https://www.svb.com/profile/debi-kutaka/
Dennis Brown,"Senior Advisor, Trade Finance",Silicon Valley Bank,Irvine,https://www.svb.com/profile/dennis-brown/
Dennis Flaherty,Senior Global Treasury & Payments Advisor,Silicon Valley Bank,West Conshohocken,https://www.svb.com/profile/dennis-flaherty/
Dennis Grunt,Market Manager,Tech Banking Midwest & Mid-Atlantic,Chicago,https://www.svb.com/profile/dennis-grunt/
Dennis He,"Managing Director, Life Science and Healthcare",,,https://www.svb.com/profile/dennis-he/
Contact us,,,,https://www.svb.com/profile/dennis-rapoport/
Diane Dodge Bianchini,Wine Program Developer,,St. Helena,https://www.svb.com/profile/diane-dodge-bianchini/
Dirk Engelbert,Head of Structured Fund Solutions,Global Fund Banking,,https://www.svb.com/profile/dirk-engelbert/
Dylan Wong,Vice President,Silicon Valley Bank,New York - West 42nd,https://www.svb.com/profile/dylan-wong/
Edward Lee,Senior Credit Analyst,SVB Asset Management,San Francisco - 222 2nd Street,https://www.svb.com/profile/edward-lee/
Elias Saadeh,Vice President,,,https://www.svb.com/profile/elias-saadeh/
Eli Oftedal,"Principal Researcher, Market Insights",,,https://www.svb.com/profile/eli-oftedal/
Ella Katrina Clark,Relationship Advisor,Software & Internet,Chicago,https://www.svb.com/profile/ella-katrina-clark/
Emily Gonsenheim,"Managing Director, SVB Advantage",,Palo Alto - Cowper Street,https://www.svb.com/profile/emily-gonsenheim/
Emily Nguyen,Relationship Advisor,Global Fund Banking - Emerging Manager,Phoenix,https://www.svb.com/profile/emily-nguyen/
Emma Eschweiler,Director,,,https://www.svb.com/profile/emma-eschweiler/
Erica Douvadjian,"Manager, Relationship Advisor",SVB Life Science and Healthcare,Boston - State Street,https://www.svb.com/profile/erica-douvadjian/
Eric Otterson,Managing Director,,San Diego,https://www.svb.com/profile/eric-otterson/
Esha Bawa,"Managing Director, Treasury and Payments",,,https://www.svb.com/profile/esha-bawa/
Estefania Cunha Flynn,Senior Relationship Advisor,Consumer and Frontier Tech Banking,Boston - State Street,https://www.svb.com/profile/estefania-cunha-flynn/
Evelyn Sainato,Relationship Advisor,,Boston - State Street,https://www.svb.com/profile/evelyn-sainato/
Faisal Mostamandy,Vice President,,,https://www.svb.com/profile/faisal-mostamandy/
Fiona Hsu,MANAGER-COMMUNITY DEVELOPMENT FINANCE,Silicon Valley Bank,,https://www.svb.com/profile/fiona-hsu/
Francis Bonnemere,"Director, Product Management",Silicon Valley Bank,San Diego,https://www.svb.com/profile/francis-bonnemere/
Frank O'Brien,Vice President,Silicon Valley Bank,Santa Monica - 7th Street,https://www.svb.com/profile/frank-o-brien/
Garrett Hoemmen,"Vice President, Northwest Region",Premium Wine Division,Portland,https://www.svb.com/profile/garrett-hoemmen/
Gary Jackson,Managing Director,Silicon Valley Bank,Cottonwood Heights,https://www.svb.com/profile/gary-jackson/
Gerald Brady,Managing Director,,Palo Alto - Cowper Street,https://www.svb.com/profile/gerald-brady/
Glen Mello,Managing Director,Technology Banking,Boston - State Street,https://www.svb.com/profile/glen-mello/
Greg Gregory,Brand Ambassador (All Regions),Wine Division,Napa,https://www.svb.com/profile/greg-gregory/
Greg Sarhanis,Liquidity Account Manager,SVB Asset Management,,https://www.svb.com/profile/greg-sarhanis/
Heather Giles,Senior Relationship Advisor,,Boston - State Street,https://www.svb.com/profile/heather-giles/
Hiroshi Ikemoto,Fixed Income Trader,SVB Asset Management,,https://www.svb.com/profile/hiroshi-ikemoto/
Ilana Fass,Director,,,https://www.svb.com/profile/ilana-fass/
Ireland Carter,"Vice President, Emerging Manager Practice",,Menlo Park,https://www.svb.com/profile/ireland-carter/
Irwin Bautista,Sr. FX Advisor,,,https://www.svb.com/profile/irwin-bautista/
"Ivan Asensio, Ph.D.","Managing Director, Head of FX Risk Advisory",Silicon Valley Bank,,https://www.svb.com/profile/ivan-asensio/
Contact us,,,,https://www.svb.com/profile/jack-garza/
Jack Gaziano,Head of Relationship Management,Corporate Banking,Boston - State Street,https://www.svb.com/profile/jack-gaziano/
"Jake Ledbetter, CFA","Senior Researcher, Market Insights",,,https://www.svb.com/profile/jake-ledbetter/
Janet Zamudio,Relationship Advisor,Software & Internet,Portland,https://www.svb.com/profile/janet-zamudio/
Jason Cosso,"Senior Credit Officer, Leveraged Finance and Sponsor Coverage",Technology Banking,San Francisco - 222 2nd Street,https://www.svb.com/profile/jason-cosso/
Jason Graveley,"Senior Manager, Fixed Income Trading",SVB Asset Management,,https://www.svb.com/profile/jason-graveley/
Jeannette Roy,"Senior Associate, Startup Banking",,Seattle,https://www.svb.com/profile/jeannette-roy/
Jed Taborski,Head of Wine Division,,,https://www.svb.com/profile/jed-taborski/
Jenna O'Donnell,Senior Relationship Advisor,West Corporate Finance,Phoenix,https://www.svb.com/profile/jenna-odonnell/
Jennifer Friel Goldstein,Head of Relationship Management,,Menlo Park,https://www.svb.com/profile/jennifer-friel-goldstein/
Jenni Halleran,"Head of Investigations, First Citizens Bank",,Seattle,https://www.svb.com/profile/jenni-halleran/
Contact us,,,,https://www.svb.com/profile/jeremy-rich/
Jesse Hurley,Head of Global Fund Banking,,Boston - State Street,https://www.svb.com/profile/jesse-hurley/
Jessica Harris,Senior Liquidity Advisor,Silicon Valley Bank,,https://www.svb.com/profile/jessica-harris/
Joanne Hoang,Vice President I,Silicon Valley Bank,,https://www.svb.com/profile/joanne-hoang/
Joe Brigati,Foreign Exchange Sales,Silicon Valley Bank,Boston - State Street,https://www.svb.com/profile/joe-brigati/
John Lee,Director,SVB Global Gateway,Palo Alto - Cowper Street,https://www.svb.com/profile/john-lee/
John Schweizer,"Advisor, Foreign Exchange",Silicon Valley Bank,Boston - State Street,https://www.svb.com/profile/john-schweizer/
John Topolosky,Relationship Advisor,,Phoenix,https://www.svb.com/profile/john-topolosky/
Jo Gladstein,"Managing Director, Relationship Advisors",Venture-Funded; Cleantech and Sustainability; Software & Internet ; Premium Wine Banking,San Francisco - 222 2nd Street,https://www.svb.com/profile/jolinda-gladstein/
Jon Schwartz,Senior Portfolio Manager,SVB Asset Management,San Francisco - 222 2nd Street,https://www.svb.com/profile/jon-schwartz/
Jordan Kanis,"Managing Director, Climate Tech and Sustainability",,San Francisco - 222 2nd Street,https://www.svb.com/profile/jordan-kanis/
Jordan Parcell,Managing Director,Silicon Valley Bank,Chicago,https://www.svb.com/profile/jordan-parcell/
Joseph Smart,Managing Director,,San Francisco - 222 2nd Street,https://www.svb.com/profile/joseph-smart/
Jose Sevilla,Senior Portfolio Manager,SVB Asset Management,,https://www.svb.com/profile/jose-sevilla/
Josh Pherigo,"Principal Researcher, Market Insights",,San Francisco - 222 2nd Street,https://www.svb.com/profile/Josh-Pherigo/
JP Giannini,Senior Vice President,Startup Banking,Santa Clara,https://www.svb.com/profile/jp-giannini/
Julia Bobrovich,Managing Director,Silicon Valley Bank,,https://www.svb.com/profile/julia-bobrovich/
Julian Nash,Managing Director,,,https://www.svb.com/profile/julian-nash/
Julie Wagne,"Managing Director, Corporate Fintech",,San Francisco - 222 2nd Street,https://www.svb.com/profile/julie-wagne/
Justine Nguyen,"Advisor, Trade Finance",Silicon Valley Bank,Irvine,https://www.svb.com/profile/justine-nguyen/
Justin Mauch,Vice President,Silicon Valley Bank,,https://www.svb.com/profile/justin-mauch/
Kadie Sobel,"Director, Structured Finance",Silicon Valley Bank,San Diego,https://www.svb.com/profile/kadie-sobel/
Kaitlin Berube,Vice President,Northeast Life Science Startup Banking,Boston - State Street,https://www.svb.com/profile/kaitlin-berube/
Contact us,,,,https://www.svb.com/profile/karen-toste/
"Kathy Sun, CFA",Foreign Exchange Advisor,,,https://www.svb.com/profile/kathy-sun/
Katie Ratliff,Relationship Advisor,Corporate Banking; Software & Internet ; Life Sciences & Healthcare,Phoenix,https://www.svb.com/profile/katie-ratliff/
Kelley Henry,Director,Investor Coverage & Business Development,,https://www.svb.com/profile/kelley-henry/
Kevin Conway,"Director, Seed Lending",Credit Solutions,San Francisco - 222 2nd Street,https://www.svb.com/profile/kevin-conway/
Kevin Li,Fixed Income Trader,SVB Asset Management,,https://www.svb.com/profile/kevin-li/
Contact us,,,,https://www.svb.com/profile/kevin-scott/
Kim Dalpe,"Manager, Relationship Advisors",,Boston - State Street,https://www.svb.com/profile/kim-dalpe/
Kiran Malhotra,"Vice President, Startup Banking",,Seattle,https://www.svb.com/profile/kiran-malhotra/
Krista Estep,Vice President,Credit Enablement,Denver,https://www.svb.com/profile/krista-estep/
Kyle Kistner,Relationship Advisor,,Phoenix,https://www.svb.com/profile/kyle-kistner/
Kyle Larrabee,"Managing Director, Frontier Tech, South, Texas and California",Strategic Capital Group,Austin,https://www.svb.com/profile/kyle-larrabee/
Lafe Vittitoe,Vice President,Silicon Valley Bank,,https://www.svb.com/profile/lafe-vittitoe/
Lane Bruno,Managing Director,Investor Coverage and Business Development,San Francisco - 222 2nd Street,https://www.svb.com/profile/lane-bruno/
Larry Zahn,Head of Business Development and Limited Partner Relations,Global Fund Banking,Austin,https://www.svb.com/profile/larry-zahn/
Laura Scott,"Senior Market Manager, Business Planning and Head of Mid-Atlantic and Southeast",,Boston - State Street,https://www.svb.com/profile/laura-scott/
Lauren (Rasch) Morrell,Senior Relationship Advisor,Life Sciences,Boston - State Street,https://www.svb.com/profile/lauren-rasch-morrell/
Leslie Cowan,Administrative Manager,Silicon Valley Bank,Austin,https://www.svb.com/profile/leslie-cowan/
Liam Fairbairn,Director,Startup Banking,San Francisco - 222 2nd Street,https://www.svb.com/profile/liam-fairbairn/
Lily Page,Managing Director,Global Treasury and Payments,New York - West 42nd,https://www.svb.com/profile/lily-page/
Linda Nguyen,"Director, Financial Crimes",,Santa Clara,https://www.svb.com/profile/linda-nguyen/
Lisa Treshnell,Global Payments Solutions Advisor,Silicon Valley Bank,San Francisco - Battery Street,https://www.svb.com/profile/lisa-treshnell/
Lisa Wei Goel,,,Santa Clara,https://www.svb.com/profile/lisa-wei-goel/
"Li Song, CFA","Managing Director, Head of Asia",SVB Global Gateway,Palo Alto - Cowper Street,https://www.svb.com/profile/li-song/
Liz Stokka,Relationship Advisor,Tech Banking - Fintech,Phoenix,https://www.svb.com/profile/liz-stokka/
Luena Lamani,Sr. Relationship Advisor,SVB Canada,Boston - State Street,https://www.svb.com/profile/luena-lamani/
Mandi Paul,Relationship Advisor,Corporate Banking,Chicago,https://www.svb.com/profile/mandi-paul/
Marc Cadieux,"President, Silicon Valley Bank",Commercial Banking,,https://www.svb.com/profile/marc-c-cadieux/
Marc Neri,Vice President,Silicon Valley Bank,Chicago,https://www.svb.com/profile/marc-neri/
Marisa Mathews,Senior Relationship Advisor,,San Diego,https://www.svb.com/profile/marisa-mathews/
Marisa Phan,"Managing Director, SVB",,San Francisco - 222 2nd Street,https://www.svb.com/profile/marisa-phan/
Mark Freund,Managing Director (Napa and Pacific Northwest),,,https://www.svb.com/profile/mark-freund/
Mark Gallagher,Head of the Investor Coverage and Business Development,,Boston - State Street,https://www.svb.com/profile/mark-gallagher/
Mark Harris,Managing Director,Corporate Banking,San Francisco - 222 2nd Street,https://www.svb.com/profile/mark-harris/
Mark Lau,Head of Venture Capital Relationship Management,Global Fund Banking,Menlo Park,https://www.svb.com/profile/mark-lau/
Mark Noble,Sr. FX Trader,Silicon Valley Bank,Santa Clara,https://www.svb.com/profile/mark-noble/
Mark Peterson,Head of Technology Lending,Silicon Valley Bank,Denver,https://www.svb.com/profile/mark-peterson/
Mark Thylin,Head of Partnerships,Global Fund Banking,Denver,https://www.svb.com/profile/mark-thylin/
Marshall Graves,Managing Director (Napa),,,https://www.svb.com/profile/marshall-graves/
Contact us,,,,https://www.svb.com/profile/matthew-reiswig/
Matthew Wright,Managing Director,Silicon Valley Bank,,https://www.svb.com/profile/matthew-wright/
Max Froseth,"Managing Director, Fintech, Central and Southeastern US",,Raleigh,https://www.svb.com/profile/max-froseth/
Megan Scheffel,Head of Life Science and Healthcare,,Washington D.C.,https://www.svb.com/profile/megan-scheffel/
Meghan Hynes,Vice President,,Boston - State Street,https://www.svb.com/profile/meghan-hynes/
Mei Chui,Senior Market Manager,"Credit Solutions, Frontier and Climate Tech",San Francisco - 222 2nd Street,https://www.svb.com/profile/mei-chui/
Mei Theng,Relationship Advisor,Consumer Tech,Boston - State Street,https://www.svb.com/profile/mei-theng/
Micaela Amaroli,Director,,San Francisco - 222 2nd Street,https://www.svb.com/profile/micaela-amaroli/
Michael Duranceau,Senior Credit Analyst,SVB Asset Management,San Francisco - 222 2nd Street,https://www.svb.com/profile/michael-duranceau/
Michael Fell,"Credit Risk Manager, Leveraged Finance and Sponsor Finance",Technology Banking,Boston - State Street,https://www.svb.com/profile/michael-fell/
Michael Ritter,Manager,Technology & Healthcare Banking,Boston - State Street,https://www.svb.com/profile/michael-ritter/
Mike Devery,Head of Strategic Capital,Silicon Valley Bank,Denver,https://www.svb.com/profile/mike-devery/
Mike Ingoglia,Senior Manager,Silicon Valley Bank,Santa Clara,https://www.svb.com/profile/mike-ingoglia/
Mike Tramack,Head of Loan Administration,Commercial Banking,,https://www.svb.com/profile/mike-tramack/
Minh Trang,Senior FX Trader,Silicon Valley Bank,Santa Clara,https://www.svb.com/profile/minh-trang/
Miranda Jimenez Fajardo,Relationship Advisor,Corporate Banking; Fintech,Boston - State Street,https://www.svb.com/profile/miranda-jimenez-fajardo/
Mona Maitra,Senior Credit Officer,Technology Banking,San Francisco - 222 2nd Street,https://www.svb.com/profile/mona-maitra/
Nanci Fastre,Senior Liquidity Advisor,Silicon Valley Bank,,https://www.svb.com/profile/nanci-fastre/
Nancy Trieu,Director,Liquidity Solutions,New York - West 42nd,https://www.svb.com/profile/nancy-trieu/
Contact us,,,,https://www.svb.com/profile/natalie-fratto/
Natalie Steck,Managing Director – Technology Banking,Seattle/Washington – Relationship Management,Seattle,https://www.svb.com/profile/natalie-steck/
Nate Foley,"Senior Advisor, Trade Finance",Payments,,https://www.svb.com/profile/nate-foley/
Nathan Morrell,Senior Card Risk Advisor,,,https://www.svb.com/profile/nathan-morrell/
Nicholas Drapeau,Global Treasury & Payments Advisor,Card Sales & Account Management,Atlanta,https://www.svb.com/profile/nicholas-drapeau/
Nicholas Farguson,FX Advisor,FX Sales Advisory,San Francisco - Battery Street,https://www.svb.com/profile/nicholas-farguson/
Nick Christian,Head of National Fintech and Specialty Finance,,,https://www.svb.com/profile/nick-christian/
Contact us,,,,https://www.svb.com/profile/nick-french/
Nick Wolfe,"Managing Director (Sonoma, Oregon & Washington)",Wine Division,Portland,https://www.svb.com/profile/nick-wolfe/
Nicole Hawkey,Managing Director,,,https://www.svb.com/profile/nicole-hawkey/
Nina Kandilian,Director,Healthcare Venture Capital Relationship Management,Boston - State Street,https://www.svb.com/profile/nina-kandilian/
Nixon Jaquez,Relationship Advisor,,New York - West 42nd,https://www.svb.com/profile/nixon-jaquez/
Pamella Benac,"Associate, Startup Banking",,Coconut Grove,https://www.svb.com/profile/pamella-benac/
Parnaz Partowkia,Relationship Advisor,Software & Internet,Seattle,https://www.svb.com/profile/parnaz-partowkia/
Patrick Haggerty,Managing Director,Investor Coverage & Business Development,Santa Monica - 7th Street,https://www.svb.com/profile/patrick-haggerty/
Patty Kao,Head of Commercial Bank Investment Solutions,Silicon Valley Bank,San Francisco - 222 2nd Street,https://www.svb.com/profile/patty-kao/
Contact us,,,,https://www.svb.com/profile/paul-cominsky/
Peter Compton,"Senior Advisor, Foreign Exchange",Silicon Valley Bank,Boston - State Street,https://www.svb.com/profile/peter-compton/
Peter Freyer,Managing Director,"Sponsor Finance, Healthcare",Santa Monica - 7th Street,https://www.svb.com/profile/peter-freyer/
Phil Silvia,Head,Corporate Banking Credit Solutions,Boston - State Street,https://www.svb.com/profile/phil-silvia/
Contact us,,,,https://www.svb.com/profile/renuka-kumar/
Contact us,,,,https://www.svb.com/profile/rob-derry/
Robert Mingrone,Vice President,Silicon Valley Bank,Palo Alto - Cowper Street,https://www.svb.com/profile/robert-mingrone/
Robert O'Connor,"Managing Director, Global Treasury & Payments Advisory",Silicon Valley Bank,New York - West 42nd,https://www.svb.com/profile/robert-o-connor/
Robert Sureck,Senior Market Manager,Tech Banking Southeast & SVB Advantage,Austin,https://www.svb.com/profile/robert-sureck/
Robert R. Wood (Bob),Managing Director,Loan Syndications,Raleigh,https://www.svb.com/profile/robert-wood/
Rob Helm,"Senior Market Manager, Tech Banking",,Santa Clara,https://www.svb.com/profile/rob-helm/
Robin Gill,Head of Private Equity Relationship Management,Global Fund Banking,New York - West 42nd,https://www.svb.com/profile/robin-gill/
Rob McMillan,EVP & Founder,,St. Helena,https://www.svb.com/profile/rob-mcmillan/
Rob Walker,Managing Director (Sonoma & Central Coast),,,https://www.svb.com/profile/rob-walker/
Rob Zerby,Bank Secrecy Act (BSA) Officer,Silicon Valley Bank,Santa Clara,https://www.svb.com/profile/rob-zerby/
Rona Smith,Senior Relationship Advisor,,Austin,https://www.svb.com/profile/rona-smith/
Roxana Palacios,Relationship Advisor,Tech Banking,Washington D.C.,https://www.svb.com/profile/roxana-palacios/
Samantha Colletti,Managing Director,Technology Banking,Richardson,https://www.svb.com/profile/samantha-colletti/
Contact us,,,,https://www.svb.com/profile/sapna-easwar/
Sarah He,Senior Vice President,Hardware and Frontier Tech,San Francisco - 222 2nd Street,https://www.svb.com/profile/sarah-he/
Sarah Kudrikow,"Director, Relationship Advisor",Life Sciences & Healthcare,Boston - State Street,https://www.svb.com/profile/sarah-kudrikow/
Sara McLaughlin,Global Treasury and Payments Advisor,,Boston - State Street,https://www.svb.com/profile/sara-mclaughlin/
Sara Rona,"Managing Director, Head of UK/Europe and MENA",,New York - West 42nd,https://www.svb.com/profile/sara-rona/
Scott McCarty,Managing Director Sales Origination,National Life Science & Healthcare,Atlanta,https://www.svb.com/profile/scott-mccarty/
Scott Middleton,Senior Merchant Services Solution Advisor,Silicon Valley Bank,,https://www.svb.com/profile/scott-middleton/
Contact us,,,,https://www.svb.com/profile/sean-stone/
Shane Anderson,Senior Credit Officer,Silicon Valley Bank,Austin,https://www.svb.com/profile/shane-anderson/
Shane Anderson,Senior Credit Officer,Silicon Valley Bank,Denver,https://www.svb.com/profile/shane-anderson2/
Contact us,,,,https://www.svb.com/profile/sharon-marichalar/
Shawn Repulles,,Silicon Valley Bank,,https://www.svb.com/profile/shawn-repulles/
Simon Keyes,Director,"Relationship Management, Tech AG, Enterprise Software Focus",New York - West 42nd,https://www.svb.com/profile/simon-keyes/
Stephanie Sier,"Manager, Relationship Advisors",Software & Internet ; Venture-Funded,Chicago,https://www.svb.com/profile/stephanie-sier/
"Steve Johnson, CFA",Senior Portfolio Manager,SVB Asset Management,,https://www.svb.com/profile/steve-johnson/
Steven Jo,Head of Multisourcing,Silicon Valley Bank,,https://www.svb.com/profile/steven-jo/
Steven Mazovetskiy,Senior Relationship Advisor Team Lead,East Coast Consumer Practice,New York - West 42nd,https://www.svb.com/profile/steven-mazovetskiy/
Steven Reel,Director,Structured Finance,Santa Monica - 7th Street,https://www.svb.com/profile/steven-reel/
Suzann Russell,Managing Director (Napa),,Napa,https://www.svb.com/profile/suzann-russell/
Thomas Powley,Relationship Advisor,Software & Internet,Chicago,https://www.svb.com/profile/thomas-powley/
"Timothy Lee, CFA",Senior Credit Analyst,SVB Asset Management,,https://www.svb.com/profile/timothy-a-lee/
Tim Bulakul,Vice President,Strategic Capital Group,Denver,https://www.svb.com/profile/tim-bulakul/
Tim Walsh,"Managing Director, Fintech, NorCal and Pacific Northwest",Strategic Capital Group,,https://www.svb.com/profile/tim-walsh/
Tina Tran,Vice President,Early Stage Practice,Santa Clara,https://www.svb.com/profile/tina-tran/
Tina Yim-Cheung,Vice President,Global Gateway,Santa Clara,https://www.svb.com/profile/tina-yim-cheung/
Todd Brothers,"Senior Advisor, Foreign Exchange",Silicon Valley Bank,,https://www.svb.com/profile/todd-brothers/
Tom Gordon,Managing Director,Silicon Valley Bank,West Conshohocken,https://www.svb.com/profile/tom-gordon/
Tony Vicari,Senior Liquidity Advisor,Silicon Valley Bank,,https://www.svb.com/profile/tony-vicari/
Tosh Ernest,Head of Catalyst 2045,,,https://www.svb.com/profile/tosh-ernest/
Travis Dugan,"Managing Director, Head of Portfolio Management",SVB Asset Management,San Francisco - 222 2nd Street,https://www.svb.com/profile/travis-dugan/
Trent Gordon,Senior Liquidity Advisor,Silicon Valley Bank,,https://www.svb.com/profile/trent-gordon/
Troy Ault,Vice President,Climate Technology & Sustainability,,https://www.svb.com/profile/troy-ault/
